Country,World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Daily Oil Consumption (Barrels),GDP Per Capita ( USD ),Gallons GDP Per Capita Can Buy,xTimes Yearly Gallons Per Capita Buy,country_code
Afghanistan,0.04,15.2,3.62,0.96,35000,509,141,9,AFG
Albania,0.03,143.4,8.0,2.11,27000,5215,652,5,ALB
Algeria,0.4,162.2,1.18,0.31,429000,3310,2805,17,DZA
Angola,0.1,70.7,1.39,0.37,133000,1896,1364,19,AGO
Argentina,0.7,249.8,3.96,1.05,709000,8579,2166,9,ARG
Armenia,0.01,31.3,4.77,1.26,153000,9478,1987,10,ARM
Aruba,0.01,1169.4,6.08,1.61,8000,30253,4976,4,ABW
Australia,1.1,704.3,5.22,1.38,1114645,51693,9903,14,AUS
Austria,0.3,459.8,8.07,2.13,262352,48587,6021,13,AUT
Azerbaijan,0.1,151.2,2.23,0.59,96000,4214,1890,12,AZE
Bahamas,0.02,812.7,6.48,1.71,20036,25194,3888,5,BHS
Bahrain,0.06,666.6,2.01,0.53,62000,20410,10154,15,BHR
Bangladesh,0.1,11.0,3.59,0.95,113000,1969,548,50,BGD
Barbados,0.01,590.1,8.27,2.18,11001,15374,1859,3,BRB
Belarus,0.1,222.3,2.67,0.71,137000,6411,2401,11,BLR
Belgium,0.7,852.6,8.36,2.21,631522,45159,5402,6,BEL
Belize,0.0,166.5,6.68,1.76,4001,4436,664,4,BLZ
Benin,0.04,50.8,3.63,0.96,36000,1291,356,7,BEN
Bhutan,0.0,62.4,4.46,1.18,3001,3122,700,11,BTN
Bolivia,0.09,125.1,2.06,0.54,90000,3143,1526,12,BOL
Bosnia and Herzegovina,0.04,158.4,6.55,1.73,35000,6032,921,6,BIH
Botswana,0.02,149.0,4.29,1.13,21000,6711,1564,10,BWA
Brazil,3.1,221.9,5.36,1.42,2984000,6797,1268,6,BRA
British Virgin Islands,0.0,647.6,3.6,0.95,1240,34246,9513,15,VGB
Brunei ,0.02,584.3,0.83,0.22,16000,27443,33064,57,BRN
Bulgaria,0.1,207.9,6.53,1.72,97000,10079,1543,7,BGR
Burkina Faso,0.02,18.9,4.33,1.14,23000,831,192,10,BFA
Burundi,0.0,2.2,5.09,1.34,1499,274,54,24,BDI
Cabo Verde,0.01,161.6,6.86,1.81,5600,3064,447,3,CPV
Cambodia,0.05,46.7,5.78,1.53,48000,1513,262,6,KHM
Cameroon,0.04,25.6,3.93,1.04,40000,1499,381,15,CMR
Canada,2.6,1047.6,6.76,1.79,2486301,43258,6399,6,CAN
Cayman Islands,0.0,1078.3,6.27,1.66,4401,85083,13570,13,CYM
Central African Republic,0.0,9.5,9.06,2.39,2800,477,53,6,CAF
Chile,0.4,296.3,5.26,1.39,351989,13232,2516,8,CHL
China,13.2,138.7,5.42,1.43,12791553,10435,1925,14,CHN
Colombia,0.4,113.6,2.28,0.6,357000,5333,2339,21,COL
Comoros,0.0,25.0,5.15,1.36,1300,1403,272,11,COM
Congo,0.02,52.3,3.94,1.04,17000,1973,501,10,COG
Costa Rica,0.06,172.1,5.87,1.55,55000,12141,2068,12,CRI
Croatia,0.07,251.3,7.24,1.91,69000,14134,1952,8,HRV
Cuba,0.2,206.9,4.77,1.26,153000,9478,1987,10,CUB
Cyprus,0.05,681.2,7.04,1.86,52000,26624,3782,6,CYP
Czech Republic (Czechia),0.2,259.8,7.56,2.0,179956,22932,3033,12,
Côte d'Ivoire,0.05,32.8,4.47,1.18,51000,2325,520,16,CIV
DR Congo,0.02,4.1,4.43,1.17,259000,5600,1264,5,
Denmark,0.2,424.6,10.04,2.65,158194,61063,6082,14,DNK
Dominica,0.0,279.7,4.78,1.26,1301,7268,1521,5,DMA
Dominican Republic,0.1,196.1,5.33,1.41,133000,7268,1364,7,DOM
Ecuador,0.3,240.8,4.43,1.17,259000,5600,1264,5,ECU
Egypt,0.9,142.3,1.97,0.52,877000,3548,1801,13,EGY
El Salvador,0.05,125.4,4.31,1.14,52000,3799,881,7,SLV
Estonia,0.03,336.0,8.35,2.21,1290063,27063,3241,8,EST
Ethiopia,0.08,10.9,2.7,0.71,74000,936,347,32,ETH
Fiji,0.02,281.2,5.27,1.39,16000,4882,926,3,FJI
Finland,0.2,585.7,10.01,2.64,210030,48773,4872,8,FIN
France,1.8,404.3,8.27,2.19,1705568,39030,4719,12,FRA
Gabon,0.02,160.3,3.65,0.97,21000,7006,1919,12,GAB
Gambia,0.0,27.1,5.04,1.33,33000,4279,849,7,GMB
Georgia,0.03,126.0,5.04,1.33,33000,4279,849,7,GEO
Germany,2.5,444.5,7.65,2.02,2383393,46208,6040,14,DEU
Ghana,0.09,47.4,4.87,1.29,88000,2329,478,10,GHA
Greece,0.3,427.6,9.49,2.51,296101,17623,1857,4,GRC
Grenada,0.0,278.1,4.62,1.22,2000,9262,2005,7,GRD
Guatemala,0.1,86.0,5.14,1.36,93000,4603,896,10,GTM
Guinea,0.02,24.8,5.13,1.36,19001,1194,233,9,GIN
Guyana,0.01,278.2,4.6,1.22,14000,6956,1512,5,GUY
Haiti,0.02,32.5,2.18,0.58,23000,1177,540,17,HTI
Honduras,0.06,95.9,5.49,1.45,58000,2406,438,5,HND
Hong Kong,0.4,864.5,11.35,3.0,408491,46324,4081,5,HKG
Hungary,0.2,244.5,7.6,2.01,155544,15981,2103,9,HUN
Iceland,0.02,880.9,9.83,2.6,19090,59270,6030,7,ISL
India,4.6,51.4,5.05,1.33,4443000,1901,376,7,IND
Indonesia,1.7,95.1,4.48,1.18,1623000,3870,864,9,IDN
Iran,1.9,347.6,0.2,0.05,1803999,2423,12115,35,IRN
Iraq,0.9,358.9,1.95,0.51,857000,4158,2132,6,IRQ
Ireland,0.2,497.5,7.84,2.07,152404,85268,10876,22,IRL
Israel,0.2,446.6,7.94,2.1,236249,44169,5563,12,ISR
Italy,1.3,312.5,8.01,2.12,1236628,31714,3959,13,ITA
Jamaica,0.06,284.8,6.36,1.68,54000,4665,733,3,JAM
Japan,4.1,481.5,4.69,1.24,4012877,40193,8570,18,JPN
Jordan,0.1,182.9,6.3,1.66,114000,4283,680,4,JOR
Kazakhstan,0.3,279.4,1.8,0.48,325000,9122,5068,18,KAZ
Kenya,0.1,35.6,5.14,1.36,93000,4603,896,10,KEN
Kiribati,0.0,54.5,4.09,1.08,400,1671,409,7,KIR
Kuwait,0.4,1390.9,1.29,0.34,359000,24812,19234,14,KWT
Kyrgyzstan,0.04,100.9,3.14,0.83,40000,1174,374,4,KGZ
Laos,0.02,40.3,7.23,1.91,18000,2630,364,9,
Latvia,0.04,292.7,8.28,2.19,37694,17726,2141,7,LVA
Lebanon,0.2,349.3,5.41,1.43,153000,4650,860,2,LBN
Lesotho,0.01,36.9,5.68,1.5,5001,861,152,4,LSO
Liberia,0.01,26.7,4.9,1.3,8000,583,119,4,LBR
Libya,0.2,526.6,0.12,0.03,223000,3699,30825,59,LBY
Lithuania,0.06,326.9,8.11,2.14,61612,20234,2495,8,LTU
Luxembourg,0.06,1487.2,7.91,2.09,56194,115874,14649,10,LUX
Macao,0.02,428.0,5.42,1.43,12791553,10435,1925,14,MAC
Madagascar,0.02,11.1,3.86,1.02,18000,496,128,12,MDG
Malawi,0.01,5.3,5.12,1.35,6001,625,122,23,MWI
Malaysia,0.7,353.7,1.76,0.46,708000,10412,5916,17,MYS
Maldives,0.01,354.6,3.6,0.95,11000,6924,1923,5,MDV
Mali,0.02,18.8,4.61,1.22,21999,859,186,10,MLI
